project_id,procurement_anomaly_score,procurement_anomaly_percentile,procurement_anomaly_flag,primary_reason,secondary_reason,tertiary_reason,bid_count,single_bid_flag,bid_competition_score,bid_price_similarity,repeated_winner_flag,model_version,mode,scored_at
MPLADS-000001,6.62,10.14,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.966,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000002,13.51,29.46,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.888,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000003,26.01,66.14,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.966,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000004,18.96,46.9,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.939,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000005,8.66,14.9,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.859,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000006,15.5,35.62,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.917,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000007,13.61,29.68,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.932,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000008,4.75,6.52,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.909,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000009,37.8,83.32,False,High bid price similarity across competing tenders (94.5% quotation clustering),Substantial post-award contract amendment (+₹2.91 Lakhs added post-tender),Narrow qualified bidder pool (2 qualified bidders evaluated),3,0,0.5,0.944,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000010,7.65,12.48,False,High bid price similarity across competing tenders (96.7% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.967,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000011,7.72,12.56,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.977,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000012,45.12,88.08,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.908,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000013,10.34,19.38,False,Substantial post-award contract amendment (+₹1.27 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.907,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000014,9.99,18.46,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.982,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000015,96.53,98.16,True,Tender awarded to frequent repeated winning vendor with low competition index (0.17),Single-bid procurement recorded in remote area (infrastructure gap 0.52),Contract award amount aligned with initial technical estimates,1,1,0.167,0.0,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000016,18.07,43.9,False,Compressed tender submission window (15 days vs statutory guidelines),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.941,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000017,86.74,95.3,True,Non-competitive single-bid procurement in accessible district (infrastructure gap 0.47),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,1,1,0.167,0.0,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000018,19.53,48.62,False,Compressed tender submission window (15 days vs statutory guidelines),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.859,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000019,4.01,5.56,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.953,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000020,62.35,93.16,False,Substantial post-award contract amendment (+₹4.44 Lakhs added post-tender),Compressed tender submission window (14 days vs statutory guidelines),Contract award amount aligned with initial technical estimates,4,0,0.667,0.977,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000021,31.72,76.82,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.962,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000022,18.89,46.54,False,High bid price similarity across competing tenders (96.7% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.967,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000023,28.09,70.18,False,Substantial post-award contract amendment (+₹0.59 Lakhs added post-tender),Narrow qualified bidder pool (2 qualified bidders evaluated),Contract award amount aligned with initial technical estimates,3,0,0.5,0.917,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000024,43.59,87.32,False,Narrow qualified bidder pool (2 qualified bidders evaluated),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,3,0,0.5,0.979,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000025,79.48,94.56,False,High bid price similarity across competing tenders (95.0% quotation clustering),Substantial post-award contract amendment (+₹104.11 Lakhs added post-tender),Contract award amount aligned with initial technical estimates,5,0,0.833,0.95,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000026,50.43,90.32,False,Compressed tender submission window (14 days vs statutory guidelines),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.864,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000027,4.82,6.72,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.924,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000028,3.65,5.02,False,Elevated bidder disqualification rate during technical evaluation (20.2%),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.885,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000029,100.0,99.51,True,Non-competitive single-bid procurement in accessible district (infrastructure gap 0.34),Substantial post-award contract amendment (+₹1.73 Lakhs added post-tender),Contract award amount aligned with initial technical estimates,1,1,0.167,0.0,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000030,8.88,15.36,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.91,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000031,25.29,64.36,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.862,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000032,11.38,22.54,False,High bid price similarity across competing tenders (96.9% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,3,0,0.5,0.969,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000033,100.0,99.51,True,Non-competitive single-bid procurement in accessible district (infrastructure gap 0.23),Tender awarded to frequent repeated winning vendor with low competition index (0.17),Contract award amount aligned with initial technical estimates,1,1,0.167,0.0,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000034,15.46,35.46,False,Elevated bidder disqualification rate during technical evaluation (24.8%),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.974,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000035,12.28,25.26,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.921,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000036,67.6,94.0,False,Substantial post-award contract amendment (+₹15.50 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.88,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000037,28.12,70.22,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.863,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000038,6.32,9.24,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.938,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000039,28.43,71.06,False,Substantial post-award contract amendment (+₹2.06 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.855,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000040,41.46,86.18,False,Compressed tender submission window (14 days vs statutory guidelines),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.868,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000041,2.08,2.8,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.942,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000042,16.9,39.96,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.899,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000043,38.88,84.26,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.986,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000044,37.28,82.94,False,High bid price similarity across competing tenders (95.2% quotation clustering),Compressed tender submission window (14 days vs statutory guidelines),Narrow qualified bidder pool (2 qualified bidders evaluated),3,0,0.5,0.952,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000045,20.74,52.7,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.904,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000046,61.31,92.86,False,High bid price similarity across competing tenders (95.9% quotation clustering),Substantial post-award contract amendment (+₹1.80 Lakhs added post-tender),Compressed tender submission window (15 days vs statutory guidelines),3,0,0.5,0.959,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000047,5.48,7.8,False,High bid price similarity across competing tenders (94.2% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.942,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000048,2.89,4.04,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,3,0,0.5,0.949,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000049,12.83,27.32,False,Compressed tender submission window (14 days vs statutory guidelines),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,4,0,0.667,0.955,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000050,28.49,71.2,False,High bid price similarity across competing tenders (94.3% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.943,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000051,18.51,44.96,False,Compressed tender submission window (14 days vs statutory guidelines),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.888,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000052,26.74,67.64,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.899,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000053,44.63,87.76,False,Substantial post-award contract amendment (+₹0.28 Lakhs added post-tender),Compressed tender submission window (14 days vs statutory guidelines),Contract award amount aligned with initial technical estimates,6,0,1.0,0.933,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000054,50.46,90.34,False,Substantial post-award contract amendment (+₹0.27 Lakhs added post-tender),Compressed tender submission window (14 days vs statutory guidelines),Contract award amount aligned with initial technical estimates,5,0,0.833,0.852,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000055,17.45,41.76,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.858,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000056,23.59,60.5,False,Narrow qualified bidder pool (2 qualified bidders evaluated),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,3,0,0.5,0.981,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000057,6.94,10.78,False,Compressed tender submission window (14 days vs statutory guidelines),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.905,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000058,20.68,52.5,False,High bid price similarity across competing tenders (97.7% quotation clustering),Narrow qualified bidder pool (2 qualified bidders evaluated),Contract award amount aligned with initial technical estimates,3,0,0.5,0.977,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000059,22.57,57.8,False,High bid price similarity across competing tenders (96.5% quotation clustering),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,7,0,1.0,0.966,1,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000060,7.07,11.1,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.977,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000061,14.38,31.9,False,High bid price similarity across competing tenders (94.4% quotation clustering),Narrow qualified bidder pool (2 qualified bidders evaluated),Contract award amount aligned with initial technical estimates,3,0,0.5,0.944,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000062,16.82,39.8,False,Procurement bidding competition within normal parameters,Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,3,0,0.5,0.989,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000063,55.64,91.98,False,Substantial post-award contract amendment (+₹13.79 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,6,0,1.0,0.94,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000064,52.01,90.9,False,High bid price similarity across competing tenders (95.9% quotation clustering),Compressed tender submission window (14 days vs statutory guidelines),Narrow qualified bidder pool (2 qualified bidders evaluated),3,0,0.5,0.959,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000065,63.04,93.3,False,Substantial post-award contract amendment (+₹60.58 Lakhs added post-tender),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,5,0,0.833,0.924,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
MPLADS-000066,96.51,98.14,True,Single-bid procurement recorded in remote area (infrastructure gap 0.59),Tender publication window and bidder participation compliant,Contract award amount aligned with initial technical estimates,1,1,0.167,0.0,0,1.0.0,early_warning,2026-09-06T08:43:12.956637+00:00
