project_id,geospatial_anomaly_score,geospatial_anomaly_percentile,geospatial_anomaly_flag,spatial_cluster_id,primary_reason,secondary_reason,tertiary_reason,nearest_neighbor_distance_km,spatial_density_25km,cluster_unit_cost_zscore,model_version,mode,scored_at
MPLADS-000001,8.53,25.04,False,GEO-CLUST-07,High geographic clustering (15 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.28,15,-0.71,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000002,15.12,50.4,False,GEO-CLUST-19,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,5.32,6,0.0,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000003,8.96,26.82,False,GEO-CLUST-09,High geographic clustering (10 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.85,10,-0.54,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000004,28.06,78.72,False,GEO-CLUST-16,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,4.69,10,-0.05,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000005,0.0,0.51,False,GEO-CLUST-05,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,4.35,8,-0.67,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000006,15.74,52.54,False,GEO-CLUST-18,High geographic clustering (16 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,1.6,16,-1.53,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000007,14.36,47.98,False,GEO-CLUST-11,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.92,6,0.0,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000008,5.81,14.14,False,GEO-CLUST-14,High geographic clustering (16 active works within 25 km radius),Elevated spatial unit cost (+37.1% vs cluster median for work type),Geographic coordinates and terrain profile match regional peers,1.58,16,0.97,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000009,40.06,88.18,False,GEO-CLUST-05,Elevated spatial unit cost (+1191.0% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.17,6,18.04,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000010,28.64,79.42,False,GEO-CLUST-13,Elevated spatial unit cost (+1066.3% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.1,9,17.71,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000011,19.64,63.72,False,GEO-CLUST-01,Elevated spatial unit cost (+57.6% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.03,5,2.59,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000012,40.42,88.44,False,GEO-CLUST-19,High sanctioned funding allocation (+41.6% above regional cluster median),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,5.38,9,-0.06,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000013,10.51,33.32,False,GEO-CLUST-17,High geographic clustering (18 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.36,18,0.07,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000014,23.45,71.56,False,GEO-CLUST-20,High geographic clustering (20 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.54),Geographic coordinates and terrain profile match regional peers,2.73,20,-0.77,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000015,16.56,55.44,False,GEO-CLUST-23,High geographic clustering (21 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 2.76),Geographic coordinates and terrain profile match regional peers,1.86,21,-1.14,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000016,84.14,97.82,True,GEO-CLUST-02,High sanctioned funding allocation (+349.7% above regional cluster median),High geographic clustering (15 active works within 25 km radius),Elevated spatial unit cost (+110.8% vs cluster median for work type),1.86,15,1.5,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000017,10.34,32.58,False,GEO-CLUST-19,Spatial distribution and cluster costs within normal parameters,Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.86,10,-0.67,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000018,2.9,5.1,False,GEO-CLUST-05,High geographic clustering (10 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,2.96,10,-0.5,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000019,11.23,36.32,False,GEO-CLUST-06,High geographic clustering (12 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,0.77,12,-0.48,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000020,100.0,99.51,True,GEO-CLUST-17,High sanctioned funding allocation (+386.8% above regional cluster median),Elevated spatial unit cost (+714.1% vs cluster median for work type),High geographic clustering (21 active works within 25 km radius),1.99,21,7.47,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000021,3.93,7.86,False,GEO-CLUST-14,High geographic clustering (17 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,3.05,17,-0.27,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000022,38.03,87.3,False,GEO-CLUST-12,High geographic clustering (23 active works within 25 km radius),Disproportionate project density relative to local population density (ratio 3.12),Geographic coordinates and terrain profile match regional peers,4.23,23,-0.21,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000023,17.34,57.9,False,GEO-CLUST-13,High geographic clustering (8 active works within 25 km radius),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,0.41,8,-0.83,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000024,90.88,98.5,True,GEO-CLUST-20,Elevated spatial unit cost (+1541.0% vs cluster median for work type),High sanctioned funding allocation (+36.6% above regional cluster median),Geographic coordinates and terrain profile match regional peers,5.72,5,27.15,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
MPLADS-000025,42.39,89.32,False,GEO-CLUST-05,Elevated spatial unit cost (+217.2% vs cluster median for work type),Normal local project density and infrastructure alignment,Geographic coordinates and terrain profile match regional peers,7.38,5,5.83,1.0.0,early_warning,2026-09-06T08:30:03.840532+00:00
