project_id,overall_risk_score,risk_level,investigation_priority,primary_typology,fraud_probability,synthesized_reasons,primary_reason,secondary_reason,tertiary_reason,financial_anomaly_score,geospatial_anomaly_score,procurement_anomaly_score,contractor_anomaly_score,payment_anomaly_score,progress_anomaly_score,graph_anomaly_score,feature_importance_contributions,scored_at
MPLADS-000001,16.4,LOW,ROUTINE,NORMAL,0.0225,"[""[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award"", ""[Contractor Capacity] Heavy agency monopolization (71.8% funding channeled through repeated agency-contractor pair)"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced"", ""[Entity Graph Relationship] RECURRING_EXCLUSIVE_PAIRING"", ""[Entity Graph Relationship] HIGH_CONSTITUENCY_AGENCY_CAPTURE""]",[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award,[Contractor Capacity] Heavy agency monopolization (71.8% funding channeled through repeated agency-contractor pair),[Contractor Capacity] Allocation distribution across implementing agencies well balanced,12.61,8.53,6.62,100.0,25.74,36.77,76.94,"{""max_anomaly_score"": 0.0548, ""project__planned_duration_days"": 0.0319, ""project_size_code"": 0.0}",2026-09-06T09:49:30.336882+00:00
MPLADS-000002,10.5,LOW,ROUTINE,NORMAL,0.0314,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,5.93,15.12,13.51,21.83,31.58,37.26,16.58,"{""financial_anomaly_score"": 0.1675, ""payment_anomaly_score"": 0.1262, ""geospatial_anomaly_score"": 0.0796}",2026-09-06T09:49:30.338468+00:00
MPLADS-000003,9.4,LOW,ROUTINE,NORMAL,0.0225,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,18.71,8.96,26.01,13.68,27.66,22.48,18.74,"{""financial__sanctioned_amount"": 0.2442, ""geo__infrastructure_gap_index"": 0.0889, ""geospatial_anomaly_percentile"": 0.0154}",2026-09-06T09:49:30.338468+00:00
MPLADS-000004,13.5,LOW,ROUTINE,NORMAL,0.0182,"[""[Payment Structuring] NORMAL_DISBURSEMENT_SCHEDULE"", ""[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS""]",[Payment Structuring] NORMAL_DISBURSEMENT_SCHEDULE,[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS,,34.88,28.06,18.96,12.27,47.31,43.04,26.37,"{""financial_anomaly_score"": 0.0706, ""project__planned_duration_days"": 0.0419, ""payment_anomaly_percentile"": 0.0391}",2026-09-06T09:49:30.338468+00:00
MPLADS-000005,5.9,LOW,ROUTINE,NORMAL,0.0182,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,7.76,0.0,8.66,22.08,17.87,11.7,12.37,"{""project__planned_duration_days"": 0.0615, ""mean_anomaly_score"": 0.0599, ""geospatial_anomaly_percentile"": 0.0584}",2026-09-06T09:49:30.338468+00:00
MPLADS-000006,10.7,LOW,ROUTINE,NORMAL,0.0182,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,,,17.13,15.74,15.5,39.29,13.71,26.79,41.29,"{""financial__sanctioned_amount"": 0.0695, ""geospatial_anomaly_score"": 0.0544, ""project__planned_duration_days"": 0.0376}",2026-09-06T09:49:30.338468+00:00
MPLADS-000007,6.6,LOW,ROUTINE,NORMAL,0.0182,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,5.64,14.36,13.61,16.1,14.04,9.08,32.06,"{""geo__population_density"": 0.2149, ""project__planned_duration_days"": 0.0351, ""mean_anomaly_score"": 0.0197}",2026-09-06T09:49:30.338468+00:00
MPLADS-000008,6.9,LOW,ROUTINE,NORMAL,0.0231,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,16.24,5.81,4.75,8.52,21.24,19.68,17.22,"{""project__planned_duration_days"": 0.0668, ""mean_anomaly_score"": 0.0316, ""graph_anomaly_score"": 0.0032}",2026-09-06T09:49:30.338468+00:00
MPLADS-000009,17.0,LOW,ROUTINE,NORMAL,0.0182,"[""[Entity Graph Relationship] RECURRING_EXCLUSIVE_PAIRING"", ""[Entity Graph Relationship] HUB_CENTRALITY_SPIKE"", ""[Contractor Capacity] Elevated historical irregularity record (0 past statutory audit findings)"", ""[Contractor Capacity] Vendor registration profile and governance structure compliant"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced""]",[Entity Graph Relationship] RECURRING_EXCLUSIVE_PAIRING,[Entity Graph Relationship] HUB_CENTRALITY_SPIKE,[Contractor Capacity] Elevated historical irregularity record (0 past statutory audit findings),48.77,40.06,37.8,53.2,35.99,10.24,72.86,"{""geo__infrastructure_gap_index"": 0.2701, ""financial_anomaly_score"": 0.1147, ""geo__population_density"": 0.1002}",2026-09-06T09:49:30.338468+00:00
MPLADS-000010,80.0,CRITICAL,IMMEDIATE,DOCUMENTATION_DEFICIT,1.0,"[""[Physical-Financial Trajectory] INSPECTION_DOCUMENTATION_DEFICIT"", ""[Payment Structuring] UNVERIFIED_DISBURSEMENT_BURST"", ""[Financial Execution] Atypical cost per unit (+1216.4% vs peer median rate)"", ""[Financial Execution] High unverified disbursement rate (100.0% unverified payments)"", ""[Financial Execution] Standard schedule compliance""]",[Physical-Financial Trajectory] INSPECTION_DOCUMENTATION_DEFICIT,[Payment Structuring] UNVERIFIED_DISBURSEMENT_BURST,[Financial Execution] Atypical cost per unit (+1216.4% vs peer median rate),52.74,28.64,7.65,38.71,82.04,83.12,18.2,"{""progress_anomaly_score"": 4.8689, ""progress_anomaly_percentile"": 0.8212, ""geo__population_density"": 0.1659}",2026-09-06T09:49:30.338468+00:00
MPLADS-000011,12.5,LOW,ROUTINE,NORMAL,0.0225,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY"", ""[Contractor Capacity] Recent corporate board/director replacement registered for contractor"", ""[Contractor Capacity] Vendor registration profile and governance structure compliant"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,[Contractor Capacity] Recent corporate board/director replacement registered for contractor,[Contractor Capacity] Vendor registration profile and governance structure compliant,15.09,19.64,7.72,43.77,32.46,33.27,43.97,"{""financial__sanctioned_amount"": 0.295, ""payment_anomaly_score"": 0.199, ""geo__infrastructure_gap_index"": 0.1261}",2026-09-06T09:49:30.338468+00:00
MPLADS-000012,18.2,LOW,ROUTINE,NORMAL,0.0182,"[""[Financial Execution] Financial metrics aligned with peer expectations"", ""[Financial Execution] Normal peer disbursement pattern"", ""[Financial Execution] Standard schedule compliance"", ""[Contractor Capacity] Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 3.32)"", ""[Contractor Capacity] Elevated agency concentration (86.7% of vendor work tied to single implementing agency)""]",[Financial Execution] Financial metrics aligned with peer expectations,[Financial Execution] Normal peer disbursement pattern,[Financial Execution] Standard schedule compliance,51.24,40.42,45.12,46.36,38.43,42.35,30.48,"{""financial_anomaly_score"": 0.1721, ""geo__population_density"": 0.0788, ""financial_anomaly_percentile"": 0.067}",2026-09-06T09:49:30.340054+00:00
MPLADS-000013,7.5,LOW,ROUTINE,NORMAL,0.0442,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,4.5,10.51,10.34,25.03,0.78,17.9,13.23,"{""geospatial_anomaly_score"": 0.1124, ""geospatial_anomaly_percentile"": 0.0881, ""mean_anomaly_score"": 0.0707}",2026-09-06T09:49:30.340054+00:00
MPLADS-000014,10.4,LOW,ROUTINE,NORMAL,0.011,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,21.04,23.45,9.99,28.8,37.31,19.31,35.79,"{""financial__sanctioned_amount"": 0.1279, ""payment_anomaly_score"": 0.0054, ""payment_anomaly_percentile"": 0.0027}",2026-09-06T09:49:30.340054+00:00
MPLADS-000015,33.4,LOW,ROUTINE,NORMAL,0.3136,"[""[Tender & Procurement] Tender awarded to frequent repeated winning vendor with low competition index (0.17)"", ""[Tender & Procurement] Single-bid procurement recorded in remote area (infrastructure gap 0.52)"", ""[Tender & Procurement] Contract award amount aligned with initial technical estimates"", ""[Payment Structuring] STATUTORY_CEILING_SMURFING"", ""[Payment Structuring] PAYMENT_TIMING_ANOMALY""]",[Tender & Procurement] Tender awarded to frequent repeated winning vendor with low competition index (0.17),[Tender & Procurement] Single-bid procurement recorded in remote area (infrastructure gap 0.52),[Tender & Procurement] Contract award amount aligned with initial technical estimates,15.45,16.56,96.53,25.63,61.95,4.25,39.11,"{""procurement_anomaly_score"": 1.4666, ""procurement_anomaly_percentile"": 0.6652, ""max_anomaly_score"": 0.0691}",2026-09-06T09:49:30.340054+00:00
MPLADS-000016,18.2,LOW,ROUTINE,NORMAL,0.0088,"[""[Geospatial Clustering] High sanctioned funding allocation (+349.7% above regional cluster median)"", ""[Geospatial Clustering] High geographic clustering (15 active works within 25 km radius)"", ""[Geospatial Clustering] Elevated spatial unit cost (+110.8% vs cluster median for work type)"", ""[Financial Execution] Elevated peer-adjusted cost (+348.4% vs peer median for work type)"", ""[Financial Execution] Accelerated disbursement velocity (4.1x peer median disbursement speed)""]",[Geospatial Clustering] High sanctioned funding allocation (+349.7% above regional cluster median),[Geospatial Clustering] High geographic clustering (15 active works within 25 km radius),[Geospatial Clustering] Elevated spatial unit cost (+110.8% vs cluster median for work type),82.18,84.14,18.07,52.54,45.47,5.04,49.38,"{""financial_anomaly_percentile"": 0.056, ""financial_anomaly_score"": 0.0498, ""project__planned_duration_days"": 0.0373}",2026-09-06T09:49:30.340054+00:00
MPLADS-000017,32.4,LOW,ROUTINE,NORMAL,0.3914,"[""[Tender & Procurement] Non-competitive single-bid procurement in accessible district (infrastructure gap 0.47)"", ""[Tender & Procurement] Tender publication window and bidder participation compliant"", ""[Tender & Procurement] Contract award amount aligned with initial technical estimates""]",[Tender & Procurement] Non-competitive single-bid procurement in accessible district (infrastructure gap 0.47),[Tender & Procurement] Tender publication window and bidder participation compliant,[Tender & Procurement] Contract award amount aligned with initial technical estimates,4.43,10.34,86.74,12.86,16.11,6.25,19.73,"{""procurement_anomaly_score"": 1.5001, ""procurement_anomaly_percentile"": 0.5762, ""geospatial_anomaly_score"": 0.2493}",2026-09-06T09:49:30.340054+00:00
MPLADS-000018,12.7,LOW,ROUTINE,NORMAL,0.058,"[""[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS"", ""[Payment Structuring] NORMAL_DISBURSEMENT_SCHEDULE""]",[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS,[Payment Structuring] NORMAL_DISBURSEMENT_SCHEDULE,,21.84,2.9,19.53,0.0,41.85,48.59,4.68,"{""geo__population_density"": 0.1674, ""contractor_anomaly_score"": 0.1087, ""financial__sanctioned_amount"": 0.1061}",2026-09-06T09:49:30.340054+00:00
MPLADS-000019,12.1,LOW,ROUTINE,NORMAL,0.0314,"[""[Entity Graph Relationship] PRE_AWARD_GOVERNANCE_INSTABILITY"", ""[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award"", ""[Contractor Capacity] Vendor registration profile and governance structure compliant"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced""]",[Entity Graph Relationship] PRE_AWARD_GOVERNANCE_INSTABILITY,[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award,[Contractor Capacity] Vendor registration profile and governance structure compliant,18.08,11.23,4.01,48.5,25.26,17.97,65.38,"{""geospatial_anomaly_score"": 0.1313, ""project__planned_duration_days"": 0.0475, ""geo__population_density"": 0.0452}",2026-09-06T09:49:30.341612+00:00
MPLADS-000020,25.0,LOW,ROUTINE,NORMAL,0.0182,"[""[Geospatial Clustering] High sanctioned funding allocation (+386.8% above regional cluster median)"", ""[Geospatial Clustering] Elevated spatial unit cost (+714.1% vs cluster median for work type)"", ""[Geospatial Clustering] High geographic clustering (21 active works within 25 km radius)"", ""[Financial Execution] Elevated peer-adjusted cost (+307.2% vs peer median for work type)"", ""[Financial Execution] Accelerated disbursement velocity (4.2x peer median disbursement speed)""]",[Geospatial Clustering] High sanctioned funding allocation (+386.8% above regional cluster median),[Geospatial Clustering] Elevated spatial unit cost (+714.1% vs cluster median for work type),[Geospatial Clustering] High geographic clustering (21 active works within 25 km radius),93.51,100.0,62.35,80.62,40.64,3.07,76.76,"{""procurement_anomaly_percentile"": 0.3503, ""procurement_anomaly_score"": 0.3449, ""max_anomaly_score"": 0.0644}",2026-09-06T09:49:30.341612+00:00
