project_id,contractor_anomaly_score,contractor_anomaly_percentile,contractor_anomaly_flag,primary_reason,secondary_reason,tertiary_reason,contractor_project_count,capacity_strain_index,corporate_collusion_index,agency_capture_score,model_version,mode,scored_at
MPLADS-000001,100.0,99.51,True,Recent corporate ownership change registered prior to developmental contract award,Heavy agency monopolization (71.8% funding channeled through repeated agency-contractor pair),Allocation distribution across implementing agencies well balanced,1,0.0,0.15,1.493,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000002,21.83,37.74,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,34,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000003,13.68,21.2,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,40,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000004,12.27,18.1,False,Elevated agency concentration (77.2% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,32,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000005,22.08,38.1,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,33,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000006,39.29,65.84,False,Heavy agency monopolization (82.4% funding channeled through repeated agency-contractor pair),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,15,0.0,0.0,0.655,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000007,16.1,26.32,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,42,0.0,0.0,0.371,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000008,8.52,11.32,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,8,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000009,53.2,82.38,False,Elevated historical irregularity record (0 past statutory audit findings),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,25,0.0,0.0,0.736,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000010,38.71,64.94,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,5,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000011,43.77,71.74,False,Recent corporate board/director replacement registered for contractor,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,44,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000012,46.36,75.16,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 3.32),Elevated agency concentration (86.7% of vendor work tied to single implementing agency),Allocation distribution across implementing agencies well balanced,16,2.323,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000013,25.03,44.16,False,High constituency allocation concentration (80.3% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,4,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000014,28.8,50.4,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,34,0.0,0.0,1.235,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000015,25.63,45.36,False,High constituency allocation concentration (60.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,43,0.0,0.0,0.234,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000016,52.54,81.74,False,Recent corporate ownership change registered prior to developmental contract award,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,41,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000017,12.86,19.28,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,10,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000018,0.0,0.51,False,High constituency allocation concentration (74.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,15,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000019,48.5,77.88,False,Recent corporate ownership change registered prior to developmental contract award,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,20,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
